"file","exists"
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/figures/08b_global_cellular_trajectory_vertex_groups.pdf",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/figures/08b_global_trajectory_major_cell_type.pdf",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/figures/08b_global_trajectory_malignant_focused_cells.pdf",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/figures/08b_malignant_focused_gene_trajectory_overlays.pdf",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_paper_faithful_cell_type_and_malignant_focus_summary.csv",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_vertex_group_cell_type_summary.csv",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_malignant_focused_gene_overlay_summary.csv",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_global_trajectory_cell_metadata.csv",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_principal_graph_vertex_coordinates.csv",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_principal_graph_edge_coordinates.csv",TRUE
"/Users/yaoshuo/Desktop/HNSCC_SASH1_reproduction/results/tables/08b_sessionInfo.txt",TRUE
